igraph,c,write_all_gml read_dimacs_flow vertex_separators misc_algos_weighted weighted_community read_ncol read_lgl centrality read_pajek read_dl misc_algos basic_properties_directed read_gml linear_algos_undirected edge_connectivity weighted_centrality read_graphml community write_all_graphml bliss linear_algos_directed read_graphdb read_edgelist basic_properties_undirected vertex_connectivity
inih,c,inihfuzz
jansson,c++,json_load_dump_fuzzer
janus-gateway,c++,rtp_fuzzer sdp_fuzzer rtcp_fuzzer
jbig2dec,c++,jbig2_fuzzer
jq,c,jq_fuzz_fixed jq_fuzz_load_file jq_fuzz_compile jq_fuzz_parse_extended jq_fuzz_execute jq_fuzz_parse_stream jq_fuzz_parse
karchive,c++,karchive_fuzzer
kcodecs,c++,kcodecs_fuzzer
kimageformats,c++,kimgio_exr_fuzzer kimgio_jxl_fuzzer kimgio_psd_fuzzer kimgio_xcf_fuzzer kimgio_avif_fuzzer kimgio_hdr_fuzzer kimgio_tga_fuzzer kimgio_rgb_fuzzer kimgio_pcx_fuzzer kimgio_heif_fuzzer kimgio_raw_fuzzer kimgio_pic_fuzzer kimgio_ras_fuzzer kimgio_ora_fuzzer kimgio_ani_fuzzer kimgio_kra_fuzzer kimgio_qoi_fuzzer
knot-dns,c++,fuzz_dname_to_str fuzz_dname_from_str fuzz_zscanner fuzz_packet
krb5,c,fuzz_json fuzz_chpw fuzz_marshal_cred fuzz_ndr fuzz_marshal_princ fuzz_profile fuzz_pac fuzz_gss fuzz_krb5_ticket fuzz_util fuzz_krad
lame,c++,fuzzer-encoder
lcms,c++,cms_transform_all_fuzzer cms_gdb_fuzzer cms_cie_cam02_fuzzer cmsIT8_load_fuzzer cms_devicelink_fuzzer cms_virtual_profile_fuzzer cms_profile_fuzzer cms_cgats_fuzzer cms_transform_fuzzer cms_universal_transform_fuzzer cms_transform_extended_fuzzer cms_overwrite_transform_fuzzer cms_postscript_fuzzer cms_dict_fuzzer cms_md5_fuzzer
leptonica,c++,pix_rotate_shear_fuzzer graphics_fuzzer barcode_fuzzer flipdetect_fuzzer maze_fuzzer pix3_fuzzer pageseg_fuzzer grayquant_fuzzer morphapp_fuzzer pix_orient_fuzzer kernel_fuzzer pix1_fuzzer compare_fuzzer bilinear_fuzzer paintcmap_fuzzer pixconv_fuzzer morph_fuzzer pix4_fuzzer blend_fuzzer fpix2_fuzzer jpegiostub_fuzzer colorquant_fuzzer finditalic_fuzzer enhance_fuzzer affine_fuzzer recog_basic_fuzzer adaptmap_fuzzer binarize_fuzzer bilateral_fuzzer classapp_fuzzer boxfunc3_fuzzer ccbord_fuzzer mask_fuzzer boxfunc_fuzzer checkerboard_fuzzer fhmtgen_fuzzer ccthin_fuzzer colorfill_fuzzer pixa_recog_fuzzer boxfunc4_fuzzer edge_fuzzer graymorph_fuzzer dewarp_fuzzer boxfunc5_fuzzer baseline_fuzzer
libaom,c++,av1_dec_fuzzer
libarchive,c++,libarchive_fuzzer
libavc,c++,svc_dec_fuzzer avc_dec_fuzzer mvc_dec_fuzzer svc_enc_fuzzer avc_enc_fuzzer
libbpf,c,bpf-object-fuzzer
libcue,c,fuzz
