bind9,c,dns_rdata_fromtext_fuzzer
binutils,c++,fuzz_readelf_elf32_csky
bitcoin-core,c++,merkleblock
bloaty,c++,fuzz_target
boringssl,c++,arm_cpuinfo
brotli,c++,decode_fuzzer
brpc,c++,fuzz_redis
ffmpeg,c++,ffmpeg_dem_PCM_U8_fuzzer
imagemagick,c++,encoder_ptif_fuzzer
cmake,c,xml_parser_fuzzer
clamav,c++,clamav_scanmap_SWF_fuzzer
gfwx,c++,fuzzer-decoder
